left_hip_x,left_hip_y
263.73563,370.97794
262.5508,371.3559
260.75204,371.38547
257.11194,371.1929
257.12424,370.3603
255.72804,368.32697
254.36113,365.45306
251.77794,360.33197
252.31564,358.78027
250.97202,363.00705
251.4609,367.7472
252.7876,373.4125
254.41377,372.76904
257.54425,372.55927
261.48053,372.601
262.67798,372.39587
264.07022,372.59354
265.3823,372.88818
265.84506,374.8361
266.87796,373.3029
